,Star_name,Distance,Mass,Radius,Gravity
133,2MASS J03552337+1133437,29.8,13282137.432,2.6980220123999997e+29,1.2177641781744996e-62
134,2MASS J04151954−0935066,18.6,19923206.148,1.9417582664999997e+29,3.5265910870657863e-62
135,2MASS J04285096-2253227 [de],85,53128549.728,2.2279121162999997e+29,7.1436151975464975e-62
136,2MASS J04351612-1606574,34,66410687.16,2.5753846482e+29,6.6825154448577964e-62
137,2MASS J04362788-4114465,142,25900167.992399998,4.0265934579e+29,1.0661374920507955e-62
138,2MASS J04390101-2353083 [de],29.5,31877129.8368,1.9826373879e+29,5.4122622273599695e-62
139,2MASS J04433764+0002040,82,14610351.1752,3.6382418046e+29,7.366543158870006e-63
140,2MASS J04455387-3048204 [de],42,42502839.782400005,2.04395607e+29,6.789863372963994e-62
141,2MASS J04510093-3402150 [de],69,690671.4804,1.4716483703999998e+31,2.128382198248721e-67
142,2MASS J05002100+0330501 [de],44,42502839.782400005,2.04395607e+29,6.789863372963994e-62
143,2MASS J05012406-0010452 [de],64,13946244.303599998,2.8206593765999997e+29,1.1698823352519484e-62
144,2MASS J05160945-0445499 [de],73,31213022.9652,1.9826373879e+29,5.29950676428997e-62
145,2MASS J0523−1403,40,45159267.268800005,2.0643956306999997e+29,7.07208100556244e-62
146,SDSS J053951.99-005902.0,41.62,40510519.1676,2.0643956306999997e+29,6.344072666754541e-62
147,LSR 0602+3910 [de],34.6,18594992.4048,2.8819780587e+29,1.4941729418398209e-62
148,2MASS J06085283-2753583,102,25236061.1208,3.0863736656999998e+29,1.7681160377603487e-62
149,2MASS J06244595-4521548 [de],39,37189984.8096,2.0235165093e+29,6.061759464690843e-62
150,2MASS J06411840-4322329 [de],65,44495160.3972,2.0643956306999997e+29,6.968079814304168e-62
151,DENIS-P J0652197-253450 [de],51,49808015.37,2.1461538735e+29,7.217116680446421e-62
152,2MASS J07075327-4900503,60,47815694.7552,2.1052747520999997e+29,7.2001096187995985e-62
153,UGPS J072227.51-054031.2,13.4,17266778.661599997,2.0030769486e+29,2.872117862626637e-62
154,2MASSI J0727182+171001 [de],29.6,27228381.7356,1.9213187058e+29,4.922766210168693e-62
155,2MASS J07290002-3954043 [de],25.8,24571954.2492,1.9213187058e+29,4.442496336005895e-62
156,SDSS J074201.41+205520.5 [de],49,28556595.478800002,1.9213187058e+29,5.1629011472500945e-62
157,DENIS-P J0751164-253043 [de],55,47151587.8836,2.1052747520999997e+29,7.1001080963162704e-62
158,2MASS J07522390+1612157,60,1334854.8954,1.3898901276e+31,4.611681658602673e-67
159,DENIS J081730.0-615520,16.1,29220702.3504,1.9213187058e+29,5.282968615790794e-62
160,2MASS J08251968+2115521 [de],35,34533557.323199995,2.0030769486e+29,5.744235725253274e-62
161,SDSSp J083008.12+482847.4 [de],43,31877129.8368,2.0235165093e+29,5.1957938268778645e-62
162,LHS 2021,55,58441404.7008,2.3505494805e+29,7.059404263006042e-62
163,SDSS J083048.80+012831.1 [de],77,30548916.0936,1.9621978272e+29,5.295371418530675e-62
164,2MASSI J0835425-081923 [de],23.53,41174626.0392,2.04395607e+29,6.577680142558868e-62
165,2MASSI J0847287-153237 [de],43,42502839.782400005,2.04395607e+29,6.789863372963994e-62
166,2MASS J08533619-0329321,27.6,51136229.1132,2.1870329949e+29,7.13516846064923e-62
167,2MASSI J0859254-194926 [de],50,33205343.58,2.0030769486e+29,5.523303581974302e-62
168,2MASSI J0937347+293142,20,27892488.607199997,1.9213187058e+29,5.0428336787093935e-62
169,2MASS 0939−2448,17.4,21251419.891200002,1.9417582664999997e+29,3.7616971595368397e-62
170,2MASS J09490860-1545485 [de],59,32541236.7084,1.9621978272e+29,5.64072172843485e-62
171,2MASS J10073369-4555147,46,29220702.3504,1.9213187058e+29,5.282968615790794e-62
172,2MASSI J1010148-040649 [de],55,33869450.4516,2.0030769486e+29,5.63376965361379e-62
173,2MASS J10224821+5825453 [de],60,17930885.5332,2.8819780587e+29,1.4408096224883983e-62
174,2MASSW J1036530-344138 [de],53,32541236.7084,1.9826373879e+29,5.525017690429968e-62
175,2MASS J1047538+212423 [de],34.4,27892488.607199997,1.9213187058e+29,5.0428336787093935e-62
176,DEN 1048-3956,13.15,51136229.1132,2.1870329949e+29,7.13516846064923e-62
177,Luhman 16B,6.516,28556595.478800002,2.0848351914e+29,4.3847937848040985e-62
